Percent Down 90,Avg. Price 90,Percent Down 365,Avg. Price 365,Price Now,Price Now Source,Deal found,AMZ link,Keepa Link,Title,last update,last price change,Sales Rank - Reference,Reviews - Rating,Reviews - Review Count,FBA Pick&Pack Fee,Referral Fee %,Tracking since,Categories - Root,Categories - Sub,Categories - Tree,ASIN,Freq. Bought Together,Type,Manufacturer,Brand,Product Group,Variation Attributes,Item Type,Author,Contributors,Binding,Number of Items,Number of Pages,Publication Date,Languages,Package - Quantity,Package Weight,Package Height,Package Length,Package Width,Listed since,Edition,Release Date,Format,Sales Rank - Current,Sales Rank - 30 days avg.,Sales Rank - 60 days avg.,Sales Rank - 90 days avg.,Sales Rank - 180 days avg.,Sales Rank - 365 days avg.,Sales Rank - Lowest,Sales Rank - Lowest 365 days,Sales Rank - Highest,Sales Rank - Highest 365 days,Sales Rank - Drops last 30 days,Sales Rank - Drops last 60 days,Sales Rank - Drops last 90 days,Sales Rank - Drops last 180 days,Sales Rank - Drops last 365 days,Buy Box - Current,Buy Box - 30 days avg.,Buy Box - 60 days avg.,Buy Box - 90 days avg.,Buy Box - 180 days avg.,Buy Box - 365 days avg.,Buy Box - Lowest,Buy Box - Lowest 365 days,Buy Box - Highest,Buy Box - Highest 365 days,Buy Box - 90 days OOS,Buy Box - Stock,Amazon - Current,Amazon - 30 days avg.,Amazon - 60 days avg.,Amazon - 90 days avg.,Amazon - 180 days avg.,Amazon - 365 days avg.,Amazon - Lowest,Amazon - Lowest 365 days,Amazon - Highest,Amazon - Highest 365 days,Amazon - 90 days OOS,Amazon - Stock,New - Current,New - 30 days avg.,New - 60 days avg.,New - 90 days avg.,New - 180 days avg.,New - 365 days avg.,New - Lowest,New - Lowest 365 days,New - Highest,New - Highest 365 days,New - 90 days OOS,New - Stock,"New, 3rd Party FBA - Current","New, 3rd Party FBA - 30 days avg.","New, 3rd Party FBA - 60 days avg.","New, 3rd Party FBA - 90 days avg.","New, 3rd Party FBA - 180 days avg.","New, 3rd Party FBA - 365 days avg.","New, 3rd Party FBA - Lowest","New, 3rd Party FBA - Lowest 365 days","New, 3rd Party FBA - Highest","New, 3rd Party FBA - Highest 365 days","New, 3rd Party FBA - 90 days OOS","New, 3rd Party FBA - Stock","New, 3rd Party FBM - Current","New, 3rd Party FBM - 30 days avg.","New, 3rd Party FBM - 60 days avg.","New, 3rd Party FBM - 90 days avg.","New, 3rd Party FBM - 180 days avg.","New, 3rd Party FBM - 365 days avg.","New, 3rd Party FBM - Lowest","New, 3rd Party FBM - Lowest 365 days","New, 3rd Party FBM - Highest","New, 3rd Party FBM - Highest 365 days","New, 3rd Party FBM - 90 days OOS","New, 3rd Party FBM - Stock",Buy Box Used - Current,Buy Box Used - 30 days avg.,Buy Box Used - 60 days avg.,Buy Box Used - 90 days avg.,Buy Box Used - 180 days avg.,Buy Box Used - 365 days avg.,Buy Box Used - Lowest,Buy Box Used - Lowest 365 days,Buy Box Used - Highest,Buy Box Used - Highest 365 days,Buy Box Used - 90 days OOS,Buy Box Used - Stock,Used - Current,Used - 30 days avg.,Used - 60 days avg.,Used - 90 days avg.,Used - 180 days avg.,Used - 365 days avg.,Used - Lowest,Used - Lowest 365 days,Used - Highest,Used - Highest 365 days,Used - 90 days OOS,Used - Stock,"Used, like new - Current","Used, like new - 30 days avg.","Used, like new - 60 days avg.","Used, like new - 90 days avg.","Used, like new - 180 days avg.","Used, like new - 365 days avg.","Used, like new - Lowest","Used, like new - Lowest 365 days","Used, like new - Highest","Used, like new - Highest 365 days","Used, like new - 90 days OOS","Used, like new - Stock","Used, very good - Current","Used, very good - 30 days avg.","Used, very good - 60 days avg.","Used, very good - 90 days avg.","Used, very good - 180 days avg.","Used, very good - 365 days avg.","Used, very good - Lowest","Used, very good - Lowest 365 days","Used, very good - Highest","Used, very good - Highest 365 days","Used, very good - 90 days OOS","Used, very good - Stock","Used, good - Current","Used, good - 30 days avg.","Used, good - 60 days avg.","Used, good - 90 days avg.","Used, good - 180 days avg.","Used, good - 365 days avg.","Used, good - Lowest","Used, good - Lowest 365 days","Used, good - Highest","Used, good - Highest 365 days","Used, good - 90 days OOS","Used, good - Stock","Used, acceptable - Current","Used, acceptable - 30 days avg.","Used, acceptable - 60 days avg.","Used, acceptable - 90 days avg.","Used, acceptable - 180 days avg.","Used, acceptable - 365 days avg.","Used, acceptable - Lowest","Used, acceptable - Lowest 365 days","Used, acceptable - Highest","Used, acceptable - Highest 365 days","Used, acceptable - 90 days OOS","Used, acceptable - Stock",List Price - Current,List Price - 30 days avg.,List Price - 60 days avg.,List Price - 90 days avg.,List Price - 180 days avg.,List Price - 365 days avg.,List Price - Lowest,List Price - Lowest 365 days,List Price - Highest,List Price - Highest 365 days,List Price - 90 days OOS,List Price - Stock,New Offer Count - Current,New Offer Count - 30 days avg.,New Offer Count - 60 days avg.,New Offer Count - 90 days avg.,New Offer Count - 180 days avg.,New Offer Count - 365 days avg.,Used Offer Count - Current,Used Offer Count - 30 days avg.,Used Offer Count - 60 days avg.,Used Offer Count - 90 days avg.,Used Offer Count - 180 days avg.,Used Offer Count - 365 days avg.
76%,-,-,-,-,-,2025-05-27 22:04:00,https://www.amazon.com/dp/B0B6XSNMY6,https://keepa.com/#!product/1-B0B6XSNMY6,Reading the Bible Cover to Cover in 365 Days: Discovering God’s Heart through His Word,2025-05-27 22:10:00,2024-05-24 21:00:00,-,-,-,-,-,2022-07-26,Books,"Religion & Spirituality, Christian Books & Bibles, Christian Living, Holidays, Christmas",Books > Subjects > Religion & Spirituality > Christian Books & Bibles > Christian Living > Holidays > Christmas,"=""B0B6XSNMY6""",-,-,Independently published,-,-,-,-,"Lende, Andrea",-,Paperback,-,-,-,-,-,0.44 kg,1.6 cm,25.4 cm,20.2 cm,2022-07-21,-,-,-,"1,327,256","1,256,814",-,"1,189,593","1,191,753","1,104,125",-,-,-,-,0,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$24.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$29.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76%,-,-,-,-,-,2025-05-27 22:00:00,https://www.amazon.com/dp/078518905X,https://keepa.com/#!product/1-078518905X,Runaways 4: The Complete Collection,2025-05-27 22:04:00,2025-04-04 15:16:00,-,-,-,-,-,2014-11-23,Books,"Comics & Graphic Novels, Graphic Novels, Superheroes",Books > Subjects > Comics & Graphic Novels > Graphic Novels > Superheroes,"=""078518905X""",-,-,Marvel Enterprises,-,-,-,-,"Moore, Terry",-,Paperback,-,-,-,-,-,0.75 kg,1.8 cm,26.2 cm,17.0 cm,2014-11-10,-,-,-,"1,235,388","1,282,595",-,"1,339,338","1,634,867","1,619,467",-,-,-,-,3,-,-,-,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$24.43,-,-,-,-,-,-,-,-,-,-,-,$34.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$28.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76%,-,-,-,-,-,2025-05-22 20:00:00,https://www.amazon.com/dp/B0C1VSRNNH,https://keepa.com/#!product/1-B0C1VSRNNH,"King of sin Series by Ana huang 3 Books Collection set: King of Wrath, King of Pride & King of Greed",2025-05-27 22:04:00,2025-04-17 11:24:00,-,-,-,-,-,2023-05-08,Books,-,Books > Subjects,"=""B0C1VSRNNH""",-,-,,-,-,-,-,Ana Huang,-,Paperback,-,-,-,-,-,2.12 kg,7.0 cm,20.3 cm,12.7 cm,2023-04-08,-,-,-,"881,317","880,810",-,"971,507","786,699","780,168",-,-,-,-,6,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$28.90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$20.56,-,-,-,-,-,-,-,-,-,-,-,$99.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$24.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76%,-,-,-,-,-,2025-05-27 20:56:00,https://www.amazon.com/dp/0679878106,https://keepa.com/#!product/1-0679878106,How Many Trucks Can a Tow Truck Tow (Pictureback),2025-05-27 22:04:00,2025-01-30 22:52:00,-,-,-,-,-,2011-04-10,Books,"Children's Books, Cars, Trains & Things That Go","Books > Subjects > Children's Books > Cars, Trains & Things That Go","=""0679878106""",-,-,Random House Childrens Books,-,-,-,-,"Pomerantz, Charlotte",-,paperback,-,-,-,-,-,0.07 kg,0.0 cm,22.1 cm,19.8 cm,-,-,-,-,"586,152","883,022",-,"926,309","939,863","954,420",-,-,-,-,8,-,-,-,130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$24.99,-,-,-,-,-,-,-,-,-,-,-,$3.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$49.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75%,-,-,-,-,-,2025-05-17 23:44:00,https://www.amazon.com/dp/B0CS6RL7D6,https://keepa.com/#!product/1-B0CS6RL7D6,"CAPM Exam Prep 2024 : + 700 CAPM Exam Questions, Answers and Explanations: Aligns with the latest Exam updates & PMBOK® 7th.: 5 Practice CAPM Exams ... CAPM Exam Simulators when you buy this Book.",2025-05-27 22:04:00,2024-08-30 11:22:00,-,-,-,-,-,2024-01-16,Books,"Business & Money, Management & Leadership, Project Management, PMP Exam",Books > Subjects > Business & Money > Management & Leadership > Project Management > PMP Exam,"=""B0CS6RL7D6""",-,-,Independently published,-,-,-,-,"Zabalawi, Khaled Ghazi",-,paperback,-,-,-,-,-,0.57 kg,2.2 cm,25.4 cm,20.4 cm,2024-01-12,-,-,-,"1,020,706","1,181,418",-,"1,256,496","1,281,124","1,871,683",-,-,-,-,4,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$24.00,-,-,-,-,-,-,-,-,-,-,-,$26.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75%,-,-,-,-,-,2025-05-27 22:04:00,https://www.amazon.com/dp/0813200938,https://keepa.com/#!product/1-0813200938,Leo The Great: Sermons (Fathers of the Church Patristic Series),2025-05-27 22:20:00,2022-02-23 13:04:00,-,-,-,-,-,2014-05-16,Books,"Religion & Spirituality, Christian Books & Bibles, Christian Living",Books > Subjects > Religion & Spirituality > Christian Books & Bibles > Christian Living,"=""0813200938""",-,-,The Catholic University of America Press,-,-,-,-,"Great, Leo the",-,Hardcover,-,-,-,-,-,0.69 kg,3.5 cm,21.8 cm,14.2 cm,-,-,-,-,"1,085,922","3,146,270",-,"4,300,766","3,825,941","5,040,276",-,-,-,-,3,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$30.16,-,-,-,-,-,-,-,-,-,-,-,$30.16,-,-,-,-,-,-,-,-,-,-,-,$39.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75%,-,-,-,-,-,2025-05-27 22:04:00,https://www.amazon.com/dp/0026256207,https://keepa.com/#!product/1-0026256207,The Way of the Skeptical Nutritionist,2025-05-27 22:04:00,2021-07-06 18:02:00,-,-,-,-,-,2015-06-13,Books,"Health, Fitness & Dieting","Books > Subjects > Health, Fitness & Dieting","=""0026256207""",-,-,Macmillan Pub Co,-,-,-,-,"Weiner, Michael A.",-,Hardcover,-,-,-,-,-,0.64 kg,2.8 cm,23.6 cm,15.2 cm,-,-,-,-,"1,098,679","2,347,129",-,"3,135,563","3,058,895","2,751,322",-,-,-,-,2,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$23.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75%,-,-,-,-,-,2025-05-27 11:22:00,https://www.amazon.com/dp/1789996678,https://keepa.com/#!product/1-1789996678,"Shadowsun: The Patient Hunter (Warhammer 40,000)",2025-05-27 22:04:00,2025-05-22 07:30:00,-,-,-,-,-,2022-11-14,Books,"Literature & Fiction, Action & Adventure, Fantasy",Books > Subjects > Literature & Fiction > Action & Adventure > Fantasy,"=""1789996678""",-,-,Games Workshop,-,-,-,-,"Kelly, Phil",-,Hardcover,-,-,-,-,-,0.47 kg,3.3 cm,20.4 cm,13.5 cm,2022-11-13,-,-,-,"1,107,501","1,042,460",-,"1,119,007","1,066,686","868,866",-,-,-,-,3,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$49.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$29.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$100.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75%,-,-,-,-,-,2025-05-27 22:04:00,https://www.amazon.com/dp/8425425018,https://keepa.com/#!product/1-8425425018,Programm. Gramática A1C2: Alemán para hispanohablantes,2025-05-27 22:26:00,2025-05-18 13:20:00,-,-,-,-,-,2014-03-19,Books,"Reference, Foreign Language Study & Reference",Books > Subjects > Reference > Foreign Language Study & Reference,"=""8425425018""",-,-,Herder Editorial,-,-,-,-,"Corcoll, Brigitte",-,Paperback,-,-,-,-,-,0.64 kg,2.2 cm,24.2 cm,15.8 cm,-,-,-,-,"1,253,027","1,049,021",-,"1,069,305","1,088,512","949,212",-,-,-,-,3,-,-,-,67,$33.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$20.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$20.65,-,-,-,-,-,-,-,-,-,-,-,$152.25,-,-,-,-,-,-,-,-,-,-,-,$1064.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74%,-,-,-,-,-,2025-05-27 04:40:00,https://www.amazon.com/dp/0882820397,https://keepa.com/#!product/1-0882820397,Murder of Little Mary Phagan: The Story the Still Rocks the Nation,2025-05-27 20:40:00,2025-03-09 04:36:00,-,-,-,-,-,2016-10-21,Books,"Biographies & Memoirs, True Crime, Murder & Mayhem",Books > Subjects > Biographies & Memoirs > True Crime > Murder & Mayhem,"=""0882820397""",-,-,New Horizon Press,-,-,-,-,"Phagan, Mary",-,Hardcover,-,-,-,-,-,0.45 kg,3.6 cm,22.6 cm,15.2 cm,-,-,-,-,"742,412","2,816,851",-,"2,464,723","2,605,093","2,460,391",-,-,-,-,1,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$23.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$23.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73%,-,-,-,-,-,2025-05-25 17:44:00,https://www.amazon.com/dp/0965050734,https://keepa.com/#!product/1-0965050734,Building Snowshoes and Snowshoe Furniture,2025-05-27 06:32:00,2025-03-21 20:32:00,-,-,-,-,-,2016-11-03,Books,"Crafts, Hobbies & Home, Home Improvement & Design, How-to & Home Improvements, Woodworking, Projects","Books > Subjects > Crafts, Hobbies & Home > Home Improvement & Design > How-to & Home Improvements > Woodworking > Projects","=""0965050734""",-,-,G. Gilpatrick,-,-,-,-,"Gilpatrick, Gil",-,Paperback,-,-,-,-,-,0.02 kg,0.5 cm,28.2 cm,22.9 cm,-,-,-,-,"1,373,865","3,727,213",-,"3,174,887","3,196,916","3,760,510",-,-,-,-,1,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$22.63,-,-,-,-,-,-,-,-,-,-,-,$101.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73%,-,-,-,-,-,2025-05-25 18:20:00,https://www.amazon.com/dp/B0CXTM9VJP,https://keepa.com/#!product/1-B0CXTM9VJP,"Costa Rica Travel Guide 2024: The Up-to-Date Tips for Eco-Friendly Exploring, Secret Spots, Easy Navigation, Cost-Saving Strategies, and Wellness",2025-05-27 21:44:00,2024-07-09 11:14:00,-,-,-,-,-,2024-03-19,Books,"Travel, Specialty Travel, Ecotourism",Books > Subjects > Travel > Specialty Travel > Ecotourism,"=""B0CXTM9VJP""",-,-,Independently published,-,-,-,-,"Sol, Isabela",-,paperback,-,-,-,-,-,0.27 kg,0.9 cm,22.9 cm,15.2 cm,2024-03-12,-,-,-,"1,226,054","1,382,830",-,"1,424,408","1,436,550","1,260,004",-,-,-,-,1,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$31.64,-,-,-,-,-,-,-,-,-,-,-,$15.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73%,-,-,-,-,-,2025-05-27 07:00:00,https://www.amazon.com/dp/1781381747,https://keepa.com/#!product/1-1781381747,"Khalifa ibn Khayyat's History on the Umayyad Dynasty (660–750) (Translated Texts for Historians, 63)",2025-05-27 10:40:00,2025-05-27 07:00:00,-,-,-,-,-,2017-03-22,Books,"History, Ancient Civilizations",Books > Subjects > History > Ancient Civilizations,"=""1781381747""",-,-,Liverpool University Press,-,-,-,-,"Hoyland, Robert G.",-,Hardcover,-,-,-,-,-,0.72 kg,2.8 cm,23.2 cm,16.7 cm,2015-01-12,-,-,-,"1,414,615","959,524",-,"959,524","959,524","959,524",-,-,-,-,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$25.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$36.19,-,-,-,-,-,-,-,-,-,-,-,$150.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73%,-,-,-,-,-,2025-05-26 03:34:00,https://www.amazon.com/dp/184297291X,https://keepa.com/#!product/1-184297291X,"That Time I Got Drunk Collection Mead Mishaps Series 3 Books Set By Kimberly Lemming (Saved a Demon, Yeeted A Love Potion At A Werewolf, Saved A Human)",2025-05-27 09:52:00,2025-05-21 16:54:00,-,-,-,-,-,2024-09-30,Books,"Science Fiction & Fantasy, Fantasy, Paranormal & Urban, Contemporary",Books > Subjects > Science Fiction & Fantasy > Fantasy > Paranormal & Urban > Contemporary,"=""184297291X""",-,-,Jo Fletcher Books Ltd,-,-,-,-,Kimberly Lemming,-,Paperback,-,-,-,-,-,0.80 kg,7.6 cm,20.3 cm,12.7 cm,2024-09-30,-,-,-,"721,438","632,508",-,"552,890","633,657","677,889",-,-,-,-,8,-,-,-,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$38.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$24.95,-,-,-,-,-,-,-,-,-,-,-,$119.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,2025-05-27 13:56:00,https://www.amazon.com/dp/1531025773,https://keepa.com/#!product/1-1531025773,"An Introduction to Law, Law Study, and the Lawyer's Role",2025-05-27 15:58:00,2025-04-25 23:32:00,-,-,-,-,-,2022-12-27,Books,"Law, Legal Education, Legal Profession",Books > Subjects > Law > Legal Education > Legal Profession,"=""1531025773""",-,-,Carolina Academic Press,-,-,-,-,"Moliterno, James",-,Paperback,-,-,-,-,-,0.44 kg,2.1 cm,23.3 cm,15.4 cm,2022-09-26,-,-,-,"1,037,711","1,192,254",-,"1,462,114","1,226,622","1,213,735",-,-,-,-,4,-,-,-,44,$29.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$29.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$38.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
